serial,photo_file,name,source,period,material,H,W,D,h,loop_width,loop_type,B,h_B,h_DW,notes,url,id,x,y,region,evidence,excel,report,ruler,era,material_group,distance,outlier,outside_frame,filtered_visible
21,021_MET-326605.jpg,Bell,The Metropolitan Museum of Art,1st millennium BCE,Bronze,102.1,57.0,,24.95,29.5337,Outer W/D - user-corrected image plane,77.15,0.3234,0.4377,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 4 in. × 2 1/4 in. (10.2 × 5.7 cm) | Evidence PDF: 021_MET-326605_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 24.95 mm; Body B 77.15 mm; Loop outer W/D 29.53 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/326605,MET-326605,29.53,24.95,Not stated in dataset,collection/02_Evidence/021_MET-326605_Evidence.pdf,collection/03_Excel_Data/021_MET-326605_Data.xlsx,collection/04_Ruler_Reports/021_MET-326605/021_MET-326605_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/021_MET-326605/021_MET-326605_ruler.png,BCE-dated,Bronze,28.541031866419967,False,False,True
22,022_MET-326608.jpg,Bell,The Metropolitan Museum of Art,1st millennium BCE,Bronze,96.0,63.0,,21.9952,19.1206,Outer W/D - user-corrected image plane,74.0048,0.2972,0.3491,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 3.78 x 2.48 in. (9.6 x 6.3 cm) | Evidence PDF: 022_MET-326608_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 22.00 mm; Body B 74.00 mm; Loop outer W/D 19.12 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/326608,MET-326608,19.12,22.0,Not stated in dataset,collection/02_Evidence/022_MET-326608_Evidence.pdf,collection/03_Excel_Data/022_MET-326608_Data.xlsx,collection/04_Ruler_Reports/022_MET-326608/022_MET-326608_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/022_MET-326608/022_MET-326608_ruler.png,BCE-dated,Bronze,18.763648365922872,False,False,True
23,023_MET-326610.jpg,Openwork rattle bell,The Metropolitan Museum of Art,1st millennium BCE,Bronze,119.9,60.0,,23.7993,23.3497,Outer W/D - user-corrected image plane,96.1007,0.2476,0.3967,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 4 3/4 × 2 3/8 in. (12 × 6 cm) | Evidence PDF: 023_MET-326610_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 180.00 deg; Top h 23.80 mm; Body B 96.10 mm; Loop outer W/D 23.35 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/326610,MET-326610,23.35,23.8,Not stated in dataset,collection/02_Evidence/023_MET-326610_Evidence.pdf,collection/03_Excel_Data/023_MET-326610_Data.xlsx,collection/04_Ruler_Reports/023_MET-326610/023_MET-326610_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/023_MET-326610/023_MET-326610_ruler.png,BCE-dated,Bronze,23.026497779731944,False,False,True
24,024_MET-327335.jpg,Openwork rattle bell,The Metropolitan Museum of Art,1st millennium BCE,Bronze,61.5,26.4,,32.8658,25.1606,Outer W/D - user-corrected image plane,28.6342,1.1478,1.2449,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 2.42 x 1.04 in. (6.15 x 2.64 cm) | Evidence PDF: 024_MET-327335_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 32.87 mm; Body B 28.63 mm; Loop outer W/D 25.16 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/327335,MET-327335,25.16,32.87,Not stated in dataset,collection/02_Evidence/024_MET-327335_Evidence.pdf,collection/03_Excel_Data/024_MET-327335_Data.xlsx,collection/04_Ruler_Reports/024_MET-327335/024_MET-327335_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/024_MET-327335/024_MET-327335_ruler.png,BCE-dated,Bronze,30.994325287058597,False,False,True
25,025_MET-36117.jpg,Bell with Pagoda-Shaped Handle (Tōrei) and Three-Footed Stand (Kongōban),The Metropolitan Museum of Art,13th century,Gilt bronze,194.0,,79.3752,106.3347,42.2759,Outer W/D - user-corrected image plane,87.6653,1.213,1.3396,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 7 5/8 in. (19.4 cm); Diam. 3 1/8 in. (7.92 cm) | Evidence PDF: 025_MET-36117_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 106.33 mm; Body B 87.67 mm; Loop outer W/D 42.28 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.",https://www.metmuseum.org/art/collection/search/36117,MET-36117,42.28,106.33,Not stated in dataset,collection/02_Evidence/025_MET-36117_Evidence.pdf,collection/03_Excel_Data/025_MET-36117_Data.xlsx,collection/04_Ruler_Reports/025_MET-36117/025_MET-36117_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/025_MET-36117/025_MET-36117_ruler.png,CE / century-dated,Bronze,104.50424776055756,True,True,False
26,026_MET-39080.jpg,Bell with Bull with Chain,The Metropolitan Museum of Art,10th–11th century(?),Bronze,279.4006,,174.6254,121.6945,70.2676,Outer W/D - user-corrected image plane,157.7061,0.7717,0.6969,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. (excl. chain) 11 in. (28.5 cm); Diam. 6 7/8 in. (17.5 cm) | Evidence PDF: 026_MET-39080_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 121.69 mm; Body B 157.71 mm; Loop outer W/D 70.27 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.",https://www.metmuseum.org/art/collection/search/39080,MET-39080,70.27,121.69,Not stated in dataset,collection/02_Evidence/026_MET-39080_Evidence.pdf,collection/03_Excel_Data/026_MET-39080_Data.xlsx,collection/04_Ruler_Reports/026_MET-39080/026_MET-39080_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/026_MET-39080/026_MET-39080_ruler.png,CE / century-dated,Bronze,130.23844785623024,True,True,False
27,027_MET-39762.jpg,Bell (niuzhong),The Metropolitan Museum of Art,5th century BCE,Bronze,298.0,177.8,,79.1758,58.1431,Outer W/D - user-corrected image plane,218.8242,0.3618,0.4453,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H: 11 3/4 in. (29.8 cm); W: 7 in. (17.8 cm); D: 4 1/2 in. (11.4 cm) | Evidence PDF: 027_MET-39762_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 79.18 mm; Body B 218.82 mm; Loop outer W/D 58.14 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/39762,MET-39762,58.14,79.18,Not stated in dataset,collection/02_Evidence/027_MET-39762_Evidence.pdf,collection/03_Excel_Data/027_MET-39762_Data.xlsx,collection/04_Ruler_Reports/027_MET-39762/027_MET-39762_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/027_MET-39762/027_MET-39762_ruler.png,BCE-dated,Bronze,87.83903744918885,True,True,False
28,028_MET-44518.jpg,Bell (niuzhong),The Metropolitan Museum of Art,early 5th century BCE,Bronze,381.0,244.0,,92.1687,178.7835,Outer W/D - user-corrected image plane,288.8313,0.3191,0.3777,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 15 in. (38.3 cm); W. 9 5/8 in. (24.4 cm); D. 7 in. (17.8 cm) | Evidence PDF: 028_MET-44518_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 92.17 mm; Body B 288.83 mm; Loop outer W/D 178.78 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/44518,MET-44518,178.78,92.17,Not stated in dataset,collection/02_Evidence/028_MET-44518_Evidence.pdf,collection/03_Excel_Data/028_MET-44518_Data.xlsx,collection/04_Ruler_Reports/028_MET-44518/028_MET-44518_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/028_MET-44518/028_MET-44518_ruler.png,BCE-dated,Bronze,191.71674157464707,True,True,False
29,029_MET-449185.jpg,Bell,The Metropolitan Museum of Art,5th–8th century,Bronze,69.8501,,44.4501,34.2123,30.1208,Outer W/D - user-corrected image plane,35.6378,0.96,0.7697,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: Ht. 2 3/4 in. (7 cm)
Diam. 1 3/4 in. (4.4 cm)
Wt. 2.7 oz. (76.6 g) | Evidence PDF: 029_MET-449185_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 34.21 mm; Body B 35.64 mm; Loop outer W/D 30.12 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.",https://www.metmuseum.org/art/collection/search/449185,MET-449185,30.12,34.21,Not stated in dataset,collection/02_Evidence/029_MET-449185_Evidence.pdf,collection/03_Excel_Data/029_MET-449185_Data.xlsx,collection/04_Ruler_Reports/029_MET-449185/029_MET-449185_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/029_MET-449185/029_MET-449185_ruler.png,CE / century-dated,Bronze,35.19760503216092,False,False,True
30,030_MET-449196.jpg,Bell,The Metropolitan Museum of Art,5th–8th century,Bronze,26.9876,,17.4625,10.0079,7.9968,Outer W/D - user-corrected image plane,16.9797,0.5894,0.5731,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: Ht. 1 1/16 in. (2.7 cm)
Diam. 11/16 in. (1.7 cm)
Wt. 0.2 oz. (5.7 g) | Evidence PDF: 030_MET-449196_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 10.01 mm; Body B 16.98 mm; Loop outer W/D 8.00 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.",https://www.metmuseum.org/art/collection/search/449196,MET-449196,8.0,10.01,Not stated in dataset,collection/02_Evidence/030_MET-449196_Evidence.pdf,collection/03_Excel_Data/030_MET-449196_Data.xlsx,collection/04_Ruler_Reports/030_MET-449196/030_MET-449196_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/030_MET-449196/030_MET-449196_ruler.png,CE / century-dated,Bronze,2.413503677229434,False,False,True
31,031_MET-463588.jpg,Bell of Clogher,The Metropolitan Museum of Art,early 20th century (original dated 5th century),"Iron, bronze",254.0,143.0,,36.4761,60.5647,Outer W/D - user-corrected image plane,217.5239,0.1677,0.2551,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: Overall: 10 x 5 5/8 x 5in. (25.4 x 14.3 x 12.7cm) | Evidence PDF: 031_MET-463588_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 36.48 mm; Body B 217.52 mm; Loop outer W/D 60.56 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/463588,MET-463588,60.56,36.48,Not stated in dataset,collection/02_Evidence/031_MET-463588_Evidence.pdf,collection/03_Excel_Data/031_MET-463588_Data.xlsx,collection/04_Ruler_Reports/031_MET-463588/031_MET-463588_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/031_MET-463588/031_MET-463588_ruler.png,CE / century-dated,Bronze,61.07302596072999,True,True,False
32,032_MET-465605.jpg,Square Pyramidal Bell,The Metropolitan Museum of Art,6th–7th century (?),Copper alloy,38.0,38.0,,11.7074,11.3894,Outer W/D - user-corrected image plane,26.2926,0.4453,0.3081,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: Overall: 1 1/2 x 1 1/2 x 1 1/8 in. (3.8 x 3.8 x 2.8 cm) | Evidence PDF: 032_MET-465605_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 11.71 mm; Body B 26.29 mm; Loop outer W/D 11.39 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/465605,MET-465605,11.39,11.71,Not stated in dataset,collection/02_Evidence/032_MET-465605_Evidence.pdf,collection/03_Excel_Data/032_MET-465605_Data.xlsx,collection/04_Ruler_Reports/032_MET-465605/032_MET-465605_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/032_MET-465605/032_MET-465605_ruler.png,CE / century-dated,Copper / copper alloy,6.0832639265446975,False,False,True
33,033_MET-466064.jpg,Church Bell,The Metropolitan Museum of Art,ca. 1411,Bronze,581.0,,368.0,150.4252,131.6423,Outer W/D - user-corrected image plane,430.5748,0.3494,0.4088,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: Overall: 22 7/8 x 14 1/2 in., 130.071lb. (58.1 x 36.8 cm, 59kg) | Evidence PDF: 033_MET-466064_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 150.43 mm; Body B 430.57 mm; Loop outer W/D 131.64 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.",https://www.metmuseum.org/art/collection/search/466064,MET-466064,131.64,150.43,Not stated in dataset,collection/02_Evidence/033_MET-466064_Evidence.pdf,collection/03_Excel_Data/033_MET-466064_Data.xlsx,collection/04_Ruler_Reports/033_MET-466064/033_MET-466064_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/033_MET-466064/033_MET-466064_ruler.png,CE / century-dated,Bronze,189.5080183000181,True,True,False
34,034_MET-471427.jpg,Bell,The Metropolitan Museum of Art,1494,"bronze, green patina",482.601,,384.176,93.1539,133.3103,Outer W/D - user-corrected image plane,389.4471,0.2392,0.2425,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 19 × 15 1/8 in., 87 lb. (48.3 × 38.4 cm, 39462.941g) | Evidence PDF: 035_MET-471427_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 93.15 mm; Body B 389.45 mm; Loop outer W/D 133.31 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.",https://www.metmuseum.org/art/collection/search/471427,MET-471427,133.31,93.15,Not stated in dataset,collection/02_Evidence/034_MET-471427_Evidence.pdf,collection/03_Excel_Data/034_MET-471427_Data.xlsx,collection/04_Ruler_Reports/034_MET-471427/034_MET-471427_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/034_MET-471427/034_MET-471427_ruler.png,CE / century-dated,Bronze,152.69826357886328,True,True,False
35,035_MET-501875.png,Bell,The Metropolitan Museum of Art,1st century (?),Metal (Bronze),64.0,,50.0,18.1525,17.2043,Outer W/D - user-corrected image plane,45.8475,0.3959,0.3631,Added from supplied Legacy PDF after matching the official Met object page. Component h and B remain IMAGE-SCALED*. | Source dimensions: Height: 6.4 cm (2-1/2 in.); Diameter: 5 cm (2 in.); Weight: 138 g | Evidence PDF: 036_MET-501875_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 18.15 mm; Body B 45.85 mm; Loop outer W/D 17.20 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.,https://www.metmuseum.org/art/collection/search/501875,MET-501875,17.2,18.15,Not stated in dataset,collection/02_Evidence/035_MET-501875_Evidence.pdf,collection/03_Excel_Data/035_MET-501875_Data.xlsx,collection/04_Ruler_Reports/035_MET-501875/035_MET-501875_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/035_MET-501875/035_MET-501875_ruler.png,CE / century-dated,Bronze,14.6752376471388,False,False,True
36,036_MET-502207.jpg,Bell,The Metropolitan Museum of Art,3rd or 4th century BCE (?),Leaded bronze,122.2378,82.5502,,35.4197,47.7244,Outer W/D - user-corrected image plane,86.8181,0.408,0.4291,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 4 13/16 × 3 1/4 × 2 1/8 in. (12.2 × 8.3 × 5.4 cm) | Evidence PDF: 037_MET-502207_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 35.42 mm; Body B 86.82 mm; Loop outer W/D 47.72 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/502207,MET-502207,47.72,35.42,Not stated in dataset,collection/02_Evidence/036_MET-502207_Evidence.pdf,collection/03_Excel_Data/036_MET-502207_Data.xlsx,collection/04_Ruler_Reports/036_MET-502207/036_MET-502207_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/036_MET-502207/036_MET-502207_ruler.png,BCE-dated,Bronze,49.46029215441413,False,False,True
37,037_MET-502514.png,Bell,The Metropolitan Museum of Art,1st century CE,Bronze,50.8,,31.75,16.7677,12.1828,Outer W/D - user-corrected image plane,34.0323,0.4927,0.5281,Added from supplied Legacy PDF after matching the official Met object page. Component h and B remain IMAGE-SCALED*. | Source dimensions: Height: 2 in.; Diameter: 1-1/4 in. | Evidence PDF: 039_MET-502514_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 16.77 mm; Body B 34.03 mm; Loop outer W/D 12.18 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.,https://www.metmuseum.org/art/collection/search/502514,MET-502514,12.18,16.77,Not stated in dataset,collection/02_Evidence/037_MET-502514_Evidence.pdf,collection/03_Excel_Data/037_MET-502514_Data.xlsx,collection/04_Ruler_Reports/037_MET-502514/037_MET-502514_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/037_MET-502514/037_MET-502514_ruler.png,CE / century-dated,Bronze,10.34238850556292,False,False,True
38,038_MET-502515.png,Bell,The Metropolitan Museum of Art,1st century CE,bronze,41.0,,35.0,15.1053,15.1404,Outer W/D - user-corrected image plane,25.8947,0.5833,0.4316,Added from supplied Legacy PDF after matching the official Met object page. Component h and B remain IMAGE-SCALED*. | Source dimensions: Height: 41 mm; Diameter: 35 mm; Weight: 38 g | Evidence PDF: 040_MET-502515_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 15.11 mm; Body B 25.89 mm; Loop outer W/D 15.14 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.,https://www.metmuseum.org/art/collection/search/502515,MET-502515,15.14,15.11,Not stated in dataset,collection/02_Evidence/038_MET-502515_Evidence.pdf,collection/03_Excel_Data/038_MET-502515_Data.xlsx,collection/04_Ruler_Reports/038_MET-502515/038_MET-502515_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/038_MET-502515/038_MET-502515_ruler.png,CE / century-dated,Bronze,11.127380644158805,False,False,True
39,039_MET-502516.png,Bell,The Metropolitan Museum of Art,100 BC-200 AD?,bronze,38.0,,27.0,14.8847,19.678,Outer W/D - user-corrected image plane,23.1153,0.6439,0.5513,Added from supplied Legacy PDF after matching the official Met object page. Component h and B remain IMAGE-SCALED*. | Source dimensions: Height: 38 mm; Diameter: 27 mm; Weight: 36 g | Evidence PDF: 041_MET-502516_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 14.88 mm; Body B 23.12 mm; Loop outer W/D 19.68 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.,https://www.metmuseum.org/art/collection/search/502516,MET-502516,19.68,14.88,Not stated in dataset,collection/02_Evidence/039_MET-502516_Evidence.pdf,collection/03_Excel_Data/039_MET-502516_Data.xlsx,collection/04_Ruler_Reports/039_MET-502516/039_MET-502516_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/039_MET-502516/039_MET-502516_ruler.png,Other / no explicit era,Bronze,14.838844294620792,False,False,True
40,040_MET-502518.png,Bell,The Metropolitan Museum of Art,1st century,bronze,25.0,,22.0,7.4385,8.7183,Outer W/D - user-corrected image plane,17.5615,0.4236,0.3381,Added from supplied Legacy PDF after matching the official Met object page. Component h and B remain IMAGE-SCALED*. | Source dimensions: Height: 25 mm; Diameter: 22 mm; Weight: 11 g | Evidence PDF: 042_MET-502518_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 7.44 mm; Body B 17.56 mm; Loop outer W/D 8.72 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.,https://www.metmuseum.org/art/collection/search/502518,MET-502518,8.72,7.44,Not stated in dataset,collection/02_Evidence/040_MET-502518_Evidence.pdf,collection/03_Excel_Data/040_MET-502518_Data.xlsx,collection/04_Ruler_Reports/040_MET-502518/040_MET-502518_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/040_MET-502518/040_MET-502518_ruler.png,CE / century-dated,Bronze,2.3814491386548657,False,False,True
41,041_MET-504797.jpg,Bell,The Metropolitan Museum of Art,1st century CE,Bronze,76.2002,,44.4501,19.7491,13.9148,Outer W/D - user-corrected image plane,56.4511,0.3498,0.4443,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 7.6 x Diam. 4.4cm (3 x 1 3/4in.) | Evidence PDF: 044_MET-504797_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 19.75 mm; Body B 56.45 mm; Loop outer W/D 13.91 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.",https://www.metmuseum.org/art/collection/search/504797,MET-504797,13.91,19.75,Not stated in dataset,collection/02_Evidence/041_MET-504797_Evidence.pdf,collection/03_Excel_Data/041_MET-504797_Data.xlsx,collection/04_Ruler_Reports/041_MET-504797/041_MET-504797_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/041_MET-504797/041_MET-504797_ruler.png,CE / century-dated,Bronze,13.783312374026789,False,False,True
42,042_MET-504986.jpg,Bell,The Metropolitan Museum of Art,11th century,Bronze,190.5004,,101.6002,48.0875,30.0654,Outer W/D - user-corrected image plane,142.4129,0.3377,0.4733,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 7 3/8 × 4 × 4 in., 46.909oz. (18.7 × 10.2 × 10.2 cm, 1330g) | Evidence PDF: 045_MET-504986_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 48.09 mm; Body B 142.41 mm; Loop outer W/D 30.07 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.",https://www.metmuseum.org/art/collection/search/504986,MET-504986,30.07,48.09,Not stated in dataset,collection/02_Evidence/042_MET-504986_Evidence.pdf,collection/03_Excel_Data/042_MET-504986_Data.xlsx,collection/04_Ruler_Reports/042_MET-504986/042_MET-504986_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/042_MET-504986/042_MET-504986_ruler.png,CE / century-dated,Bronze,46.39298761666466,False,False,True
43,043_MET-51918.jpg,Bell,The Metropolitan Museum of Art,500 BCE–300 CE,Bronze,133.0,73.0,,17.7071,24.4764,Outer W/D - user-corrected image plane,115.2929,0.1536,0.2426,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 5 1/4 in. (13.3 cm); W. 2 7/8 in. (7.3 cm) | Evidence PDF: 047_MET-51918_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 17.71 mm; Body B 115.29 mm; Loop outer W/D 24.48 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/51918,MET-51918,24.48,17.71,Not stated in dataset,collection/02_Evidence/043_MET-51918_Evidence.pdf,collection/03_Excel_Data/043_MET-51918_Data.xlsx,collection/04_Ruler_Reports/043_MET-51918/043_MET-51918_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/043_MET-51918/043_MET-51918_ruler.png,BCE–CE range,Bronze,20.403024285629815,False,False,True
44,044_MET-51919.jpg,Bell,The Metropolitan Museum of Art,500 BCE–300 CE,Bronze,86.0,38.0,,16.3369,29.3051,Outer W/D - user-corrected image plane,69.6631,0.2345,0.4299,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 3 3/8 in. (8.6 cm); W. 1 1/2 in. (3.8 cm) | Evidence PDF: 048_MET-51919_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 16.34 mm; Body B 69.66 mm; Loop outer W/D 29.31 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/51919,MET-51919,29.31,16.34,Not stated in dataset,collection/02_Evidence/044_MET-51919_Evidence.pdf,collection/03_Excel_Data/044_MET-51919_Data.xlsx,collection/04_Ruler_Reports/044_MET-51919/044_MET-51919_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/044_MET-51919/044_MET-51919_ruler.png,BCE–CE range,Bronze,24.279456336582168,False,False,True
