serial,photo_file,name,source,period,material,H,W,D,h,loop_width,loop_type,B,h_B,h_DW,notes,url,id,x,y,region,evidence,excel,report,ruler,era,material_group,distance,outlier,outside_frame,filtered_visible
11,011_MET-326225.jpg,Bell inscribed with the Urartian royal name Argishti,The Metropolitan Museum of Art,ca. 789–766 BCE,"Bronze, iron",87.0,56.0,,19.0976,22.3125,Outer W/D - user-corrected image plane,67.9024,0.2813,0.341,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 3 7/16 × 2 3/16 × 2 3/16 in. (8.7 × 5.6 × 5.6 cm) | Evidence PDF: 011_MET-326225_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 19.10 mm; Body B 67.90 mm; Loop outer W/D 22.31 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/326225,MET-326225,22.31,19.1,Not stated in dataset,collection/02_Evidence/011_MET-326225_Evidence.pdf,collection/03_Excel_Data/011_MET-326225_Data.xlsx,collection/04_Ruler_Reports/011_MET-326225/011_MET-326225_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/011_MET-326225/011_MET-326225_ruler.png,BCE-dated,Bronze,19.26715339638941,False,False,True
12,012_MET-326579.jpg,Bell,The Metropolitan Museum of Art,ca. 8th–7th century BCE,Bronze,82.0,53.0,,17.362,16.9806,Outer W/D - user-corrected image plane,64.638,0.2686,0.3276,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 3 1/4 × 2 1/16 × 2 1/16 in. (8.2 × 5.3 × 5.3 cm) | Evidence PDF: 012_MET-326579_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 17.36 mm; Body B 64.64 mm; Loop outer W/D 16.98 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/326579,MET-326579,16.98,17.36,Not stated in dataset,collection/02_Evidence/012_MET-326579_Evidence.pdf,collection/03_Excel_Data/012_MET-326579_Data.xlsx,collection/04_Ruler_Reports/012_MET-326579/012_MET-326579_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/012_MET-326579/012_MET-326579_ruler.png,BCE-dated,Bronze,13.982878816609976,False,False,True
13,013_MET-326580.jpg,Bell,The Metropolitan Museum of Art,ca. 8th–7th century BCE,Bronze,90.9,52.0,,16.9052,19.5359,Outer W/D - user-corrected image plane,73.9948,0.2285,0.3251,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 3 9/16 × 2 1/16 × 2 1/16 in. (9.1 × 5.2 × 5.2 cm) | Evidence PDF: 013_MET-326580_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 16.91 mm; Body B 73.99 mm; Loop outer W/D 19.54 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/326580,MET-326580,19.54,16.91,Not stated in dataset,collection/02_Evidence/013_MET-326580_Evidence.pdf,collection/03_Excel_Data/013_MET-326580_Data.xlsx,collection/04_Ruler_Reports/013_MET-326580/013_MET-326580_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/013_MET-326580/013_MET-326580_ruler.png,BCE-dated,Bronze,15.745177039334934,False,False,True
14,014_MET-326583.jpg,Bell,The Metropolitan Museum of Art,ca. 700 BCE,Bronze,74.9,52.1,,17.2798,17.9361,Outer W/D - user-corrected image plane,57.6202,0.2999,0.3317,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 2.95 x 2.05 in. (7.49 x 5.21 cm) | Evidence PDF: 014_MET-326583_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 17.28 mm; Body B 57.62 mm; Loop outer W/D 17.94 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/326583,MET-326583,17.94,17.28,Not stated in dataset,collection/02_Evidence/014_MET-326583_Evidence.pdf,collection/03_Excel_Data/014_MET-326583_Data.xlsx,collection/04_Ruler_Reports/014_MET-326583/014_MET-326583_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/014_MET-326583/014_MET-326583_ruler.png,BCE-dated,Bronze,14.669509194243687,False,False,True
15,015_MET-326584.jpg,Bell,The Metropolitan Museum of Art,ca. 8th–7th century BCE,"Bronze, iron",86.1,63.0,,18.5683,33.8507,Outer W/D - user-corrected image plane,67.5317,0.275,0.2947,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 3.39 x 2.48 in. (8.61 x 6.3 cm) | Evidence PDF: 015_MET-326584_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 18.57 mm; Body B 67.53 mm; Loop outer W/D 33.85 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/326584,MET-326584,33.85,18.57,Not stated in dataset,collection/02_Evidence/015_MET-326584_Evidence.pdf,collection/03_Excel_Data/015_MET-326584_Data.xlsx,collection/04_Ruler_Reports/015_MET-326584/015_MET-326584_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/015_MET-326584/015_MET-326584_ruler.png,BCE-dated,Bronze,29.31088705583644,False,False,True
16,016_MET-326589.jpg,Openwork rattle bell,The Metropolitan Museum of Art,ca. 1000 BCE,Bronze,100.1,72.0,,21.3483,22.4,Outer W/D - user-corrected image plane,78.7517,0.2711,0.2965,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 3 15/16 × 2 13/16 × 2 13/16 in. (10 × 7.2 × 7.2 cm) | Evidence PDF: 016_MET-326589_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 21.35 mm; Body B 78.75 mm; Loop outer W/D 22.40 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/326589,MET-326589,22.4,21.35,Not stated in dataset,collection/02_Evidence/016_MET-326589_Evidence.pdf,collection/03_Excel_Data/016_MET-326589_Data.xlsx,collection/04_Ruler_Reports/016_MET-326589/016_MET-326589_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/016_MET-326589/016_MET-326589_ruler.png,BCE-dated,Bronze,20.69730900382946,False,False,True
17,017_MET-326590.jpg,Openwork rattle bell,The Metropolitan Museum of Art,ca. 9th–8th century BCE,Bronze,83.1,55.0,,15.6086,18.7871,Outer W/D - user-corrected image plane,67.4914,0.2313,0.2838,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 3 1/4 × 2 3/16 × 2 3/16 in. (8.3 × 5.5 × 5.5 cm) | Evidence PDF: 017_MET-326590_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 15.61 mm; Body B 67.49 mm; Loop outer W/D 18.79 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/326590,MET-326590,18.79,15.61,Not stated in dataset,collection/02_Evidence/017_MET-326590_Evidence.pdf,collection/03_Excel_Data/017_MET-326590_Data.xlsx,collection/04_Ruler_Reports/017_MET-326590/017_MET-326590_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/017_MET-326590/017_MET-326590_ruler.png,BCE-dated,Bronze,14.414510050639946,False,False,True
18,018_MET-326592.jpg,Openwork rattle bell,The Metropolitan Museum of Art,ca. 9th–8th century BCE,Bronze,82.0,52.0,,17.5346,28.1224,Outer W/D - user-corrected image plane,64.4654,0.272,0.3372,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 3 1/4 × 2 1/16 × 2 1/16 in. (8.2 × 5.2 × 5.2 cm) | Evidence PDF: 018_MET-326592_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 70.00 deg; Top h 17.53 mm; Body B 64.47 mm; Loop outer W/D 28.12 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/326592,MET-326592,28.12,17.53,Not stated in dataset,collection/02_Evidence/018_MET-326592_Evidence.pdf,collection/03_Excel_Data/018_MET-326592_Data.xlsx,collection/04_Ruler_Reports/018_MET-326592/018_MET-326592_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/018_MET-326592/018_MET-326592_ruler.png,BCE-dated,Bronze,23.609019462908662,False,False,True
19,019_MET-326598.jpg,Openwork rattle bell,The Metropolitan Museum of Art,ca. 9th–8th century BCE,Bronze,65.0,37.0,,21.6024,17.1385,Outer W/D - user-corrected image plane,43.3976,0.4978,0.5838,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 2 9/16 × 1 7/16 × 1 7/16 in. (6.5 × 3.7 × 3.7 cm) | Evidence PDF: 019_MET-326598_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 21.60 mm; Body B 43.40 mm; Loop outer W/D 17.14 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/326598,MET-326598,17.14,21.6,Not stated in dataset,collection/02_Evidence/019_MET-326598_Evidence.pdf,collection/03_Excel_Data/019_MET-326598_Data.xlsx,collection/04_Ruler_Reports/019_MET-326598/019_MET-326598_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/019_MET-326598/019_MET-326598_ruler.png,BCE-dated,Bronze,17.17293510149037,False,False,True
20,020_MET-326604.jpg,Bell,The Metropolitan Museum of Art,1st millennium BCE (?),Bronze,104.9,75.0,,19.9311,9.2213,Outer W/D - user-corrected image plane,84.9689,0.2346,0.2657,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 4 1/8 × 2 15/16 in. (10.5 × 7.5 cm) | Evidence PDF: 020_MET-326604_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 19.93 mm; Body B 84.97 mm; Loop outer W/D 9.22 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/326604,MET-326604,9.22,19.93,Not stated in dataset,collection/02_Evidence/020_MET-326604_Evidence.pdf,collection/03_Excel_Data/020_MET-326604_Data.xlsx,collection/04_Ruler_Reports/020_MET-326604/020_MET-326604_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/020_MET-326604/020_MET-326604_ruler.png,BCE-dated,Bronze,12.091559039263712,False,False,True
